FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,DeltaOwn,Value
2021-06-01,2021-05-28,VYNT,"Vyant Bio, Inc.",Boehm Marcus,Dir,P - Purchase,3.68,5000.0,98929.0,5.0,18400.0
2021-06-01,2021-06-01,FDS,Factset Research Systems Inc,Snow Frederick Philip,CEO,S - Sale+OE,334.9,-2500.0,3897.0,-39.0,-837250.0
2021-06-01,2021-05-27,CARG,"Cargurus, Inc.",Steinert Langley,"Exec COB, 10%",S - Sale,28.23,-31098.0,1141088.0,-3.0,-877741.0
2021-06-01,2021-05-27,CARG,"Cargurus, Inc.",Parafestas Anastasios,Dir,S - Sale,28.16,-30000.0,4373673.0,-1.0,-844700.0
2021-06-01,2021-05-27,BXMT,"Blackstone Mortgage Trust, Inc.",Armer Douglas N.,EVP,S - Sale,31.86,-638.0,95011.0,-1.0,-20327.0
2021-06-01,2021-05-28,PGEN,"Precigen, Inc.",Ares Trading S.A.,10%,S - Sale,6.79,-72811.0,24917820.0,0.0,-494452.0
2021-06-01,2021-05-27,OOMA,Ooma Inc,Yeh Jenny C,"VP, GC, Sec.",S - Sale+OE,18.57,-5297.0,58349.0,-8.0,-98350.0
2021-06-01,2021-05-27,ANNX,"Annexon, Inc.",Lew Jennifer,"EVP, CFO",S - Sale+OE,22.24,-3500.0,2000.0,-64.0,-77835.0
2021-06-01,2021-05-27,BILL,"Bill.Com Holdings, Inc.",Cakebread Steven,Dir,S - Sale+OE,148.99,-5334.0,0.0,-100.0,-794694.0
2021-06-01,2021-06-01,INSE,"Inspired Entertainment, Inc.",Davis Evan Wainhouse,Former 10% Owner,S - Sale,9.25,-6217628.0,0.0,-100.0,-57513059.0
2021-06-01,2021-05-27,ANET,"Arista Networks, Inc.",Sadana Anshul,"SVP, COO",S - Sale+OE,340.21,-8357.0,2421.0,-78.0,-2843089.0
2021-06-01,2021-05-27,CLNE,Clean Energy Fuels Corp.,Total Marketing Services S.A.S.,10%,S - Sale,8.06,-532239.0,48330038.0,-1.0,-4289523.0
2021-06-01,2021-06-01,EA,Electronic Arts Inc.,Bruzzo Chris,EVP,S - Sale,143.34,-2500.0,27658.0,-8.0,-358355.0
2021-06-01,2021-06-01,EA,Electronic Arts Inc.,Miele Laura,Chief Studios Officer,S - Sale,142.92,-785.0,36032.0,-2.0,-112192.0
2021-06-01,2021-05-27,ZIP,"Ziprecruiter, Inc.",Edmonds Joseph,10%,S - Sale,21.11,-153015.0,11671229.0,-1.0,-3230196.0
2021-06-01,2021-05-27,ZIP,"Ziprecruiter, Inc.",Poulos Ward,10%,S - Sale,20.99,-297530.0,6719971.0,-4.0,-6243752.0
2021-06-01,2021-05-27,ZIP,"Ziprecruiter, Inc.",Willis Redd,10%,S - Sale,21.27,-381161.0,9305346.0,-4.0,-8107380.0
2021-06-01,2021-05-27,ATLC,Atlanticus Holdings Corp,Howard Jeffrey A.,"Pres, CEO",S - Sale,40.04,-3337.0,444913.0,-1.0,-133597.0
2021-06-01,2021-05-27,CRC,California Resources Corp,Ares Management LLC,10%,S - Sale,30.06,-239000.0,17085848.0,-1.0,-7183260.0
2021-06-01,2021-05-27,BLI,"Berkeley Lights, Inc.",Breinlinger Keith,Chief Technical Officer,S - Sale+OE,45.13,-8500.0,32881.0,-21.0,-383594.0
2021-06-01,2021-05-28,BILL,"Bill.Com Holdings, Inc.",Aji Rajesh A.,"GC, CCO",S - Sale+OE,150.21,-1845.0,4357.0,-30.0,-277139.0
2021-06-01,2021-05-28,DXCM,Dexcom Inc,Blackford Quentin S.,COO,S - Sale,375.0,-7223.0,37942.0,-16.0,-2708625.0
2021-06-01,2021-06-01,TTMI,Ttm Technologies Inc,Hardwick William Kent,"SVP Global Sales, EMS",S - Sale,15.19,-1500.0,77041.0,-2.0,-22785.0
2021-06-01,2021-05-27,STKS,"One Group Hospitality, Inc.",Segal Jonathan,"Dir, Business Development, 10%",S - Sale+OE,10.59,-36499.0,4263989.0,-1.0,-386495.0
2021-06-01,2021-05-26,SWAV,"Shockwave Medical, Inc.",Papiernik Antoine,Dir,S - Sale,171.35,-110000.0,124952.0,-47.0,-18848591.0
2021-06-01,2021-05-28,CPRI,Capri Holdings Ltd,Purefoy Daniel,"SVP, Global Ops",S - Sale+OE,56.97,-3520.0,14448.0,-20.0,-200534.0
2021-06-01,2021-05-27,META,Facebook Inc,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,330.5,-77300.0,2200432.0,-3.0,-25547589.0
2021-06-01,2021-05-27,EXPO,Exponent Inc,James Bradley A,Group VP,S - Sale,91.29,-3120.0,4222.0,-42.0,-284834.0
2021-06-01,2021-05-27,ABNB,"Airbnb, Inc.",Blecharczyk Nathan,"Chief Strategy Officer, 10%",S - Sale,140.0,-486111.0,550231.0,-47.0,-68055540.0
2021-06-01,2021-05-27,OTRK,"Ontrak, Inc.",Peizer Terren S,"Exec COB, 10%",S - Sale,30.26,-33000.0,9545512.0,0.0,-998656.0
2021-06-01,2021-05-28,META,Facebook Inc,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,330.56,-74969.0,2185932.0,-3.0,-24781662.0
2021-06-01,2021-06-01,DAWN,"Day One Biopharmaceuticals, Inc.",Becker Daniel J.,Dir,P - Purchase,16.0,5000.0,5000.0,0.0,80000.0
2021-06-01,2021-06-01,DAWN,"Day One Biopharmaceuticals, Inc.",Josey John A.,Dir,P - Purchase,16.0,7000.0,72292.0,11.0,112000.0
2021-06-01,2021-05-27,CRC,California Resources Corp,Ares Management LLC,10%,S - Sale,30.06,-239000.0,17085848.0,-1.0,-7183260.0
2021-06-01,2021-05-27,PINS,"Pinterest, Inc.",Yang Tseli Lily,Chief Accounting Officer,S - Sale+OE,63.0,-2560.0,64104.0,-4.0,-161280.0
2021-06-01,2021-05-28,CVNA,Carvana Co.,Garcia Ernest C. II,10%,S - Sale+OE,266.36,-50000.0,74749802.0,0.0,-13317960.0
2021-06-01,2021-05-27,PCT,"Purecycle Technologies, Inc.",Dee Michael E,CFO,P - Purchase,17.18,7571.0,7571.0,0.0,130046.0
2021-06-01,2021-05-28,ROST,"Ross Stores, Inc.",Balmuth Michael,Strategic Advisor,S - Sale,126.04,-49377.0,768.0,-98.0,-6223222.0
2021-06-01,2021-05-27,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,136.15,-13465.0,39579.0,-25.0,-1833351.0
2021-06-01,2021-05-28,A,"Agilent Technologies, Inc.",McDonnell Padraig,SVP,S - Sale,138.42,-1000.0,16916.0,-6.0,-138420.0
2021-06-01,2021-05-28,YEXT,"Yext, Inc.",Distelburger Brian,"Pres, COO",S - Sale,15.01,-4600.0,3122321.0,0.0,-69024.0
2021-06-01,2021-06-01,GOOG,Alphabet Inc.,Mather Ann,Dir,S - Sale,2422.0,-25.0,1746.0,-1.0,-60550.0
2021-06-01,2021-05-28,STIM,"Neuronetics, Inc.",Conley Sheryl L,Dir,S - Sale,13.78,-6800.0,45872.0,-13.0,-93684.0
2021-06-01,2021-05-27,STIM,"Neuronetics, Inc.",Shook Bruce Joseph,Dir,S - Sale,13.35,-15200.0,29937.0,-34.0,-202868.0
2021-06-01,2021-05-27,UONE,"Urban One, Inc.",Semler Eric,10%,P - Purchase,4.29,1006838.0,4103515.0,33.0,4316133.0
2021-06-01,2021-06-01,FRG,"Franchise Group, Inc.",Laurence Andrew M,EVP,P - Purchase,36.0,50000.0,400750.0,14.0,1800000.0
2021-06-01,2021-05-27,LJPC,La Jolla Pharmaceutical Co,Tang Kevin C,"Dir, 10%",P - Purchase,4.47,245020.0,10049224.0,2.0,1095693.0
2021-06-01,2021-06-01,GOOG,Alphabet Inc.,Schindler Philipp,"SVP, Chief Business Officer",S - Sale,2422.0,-1385.0,69058.0,-2.0,-3354470.0
2021-06-01,2021-05-27,JYNT,Joint Corp,Krevlin Glenn J,Dir,S - Sale,70.19,-20000.0,23829.0,-46.0,-1403866.0
2021-06-01,2021-05-27,INT,World Fuel Services Corp,Kasbar Michael J,"COB, CEO, Pres",P - Purchase,31.4,10000.0,879867.0,1.0,314000.0
2021-06-01,2021-05-28,INT,World Fuel Services Corp,Birns IRA M,"EVP, CFO",P - Purchase,31.59,2000.0,130423.0,2.0,63180.0
2021-06-01,2021-05-27,TSLA,"Tesla, Inc.",Baglino Andrew D,"SVP Powertrain, Energy Eng.",S - Sale+OE,620.17,-1500.0,18114.0,-8.0,-930255.0
2021-06-01,2021-05-28,MYGN,Myriad Genetics Inc,Spiegelman Daniel K,Dir,S - Sale,28.99,-7142.0,13420.0,-35.0,-207023.0
2021-06-01,2021-05-27,STAA,Staar Surgical Co,"Broadwood Partners, L.P.",10%,S - Sale,146.71,-266278.0,18145714.0,-1.0,-39065521.0
2021-06-01,2021-05-28,ITRI,"Itron, Inc.",Hlavinka Sarah E.,"SVP. Gen. Counsel, Corp. Sec",S - Sale+OE,96.16,-2304.0,19027.0,-11.0,-221553.0
2021-06-01,2021-05-28,TNDM,Tandem Diabetes Care Inc,Berger David B,"EVP, Chief Business, Complianc",S - Sale+OE,86.47,-3619.0,4284.0,-46.0,-312933.0
2021-06-01,2021-05-27,VLDR,"Velodyne Lidar, Inc.",Culkin Joseph B.,Dir,S - Sale,10.08,-1432359.0,10489094.0,-12.0,-14438639.0
2021-06-01,2021-05-28,FFBC,First Financial Bancorp /oh/,Davis Claude E,Chairman of the Board,S - Sale,25.6,-33083.0,188524.0,-15.0,-846784.0
2021-06-01,2021-05-27,CVNA,Carvana Co.,Garcia Ernest C. II,10%,S - Sale+OE,264.63,-45785.0,74804017.0,0.0,-12115846.0
2021-06-01,2021-05-27,CVNA,Carvana Co.,Garcia Ernest C. II,10%,S - Sale+OE,268.83,-4215.0,74799802.0,0.0,-1133128.0
2021-06-01,2021-05-28,IDXX,Idexx Laboratories Inc /de,Turner Kathy V,SVP,S - Sale,558.44,-2000.0,2986.0,-40.0,-1116884.0
2021-06-01,2021-06-01,ZOM,Zomedica Corp.,Cohen Robert,CEO,S - Sale+OE,0.81,-3193750.0,0.0,-100.0,-2595880.0
2021-06-01,2021-05-28,LEVI,Levi Strauss & Co,Haas Robert D.,10%,S - Sale+OE,26.84,-118305.0,0.0,-100.0,-3174852.0
2021-06-01,2021-05-28,SEM,Select Medical Holdings Corp,Jackson Martin F,EVP,S - Sale,40.07,-50000.0,1145964.0,-4.0,-2003500.0
2021-06-01,2021-05-26,EDUC,Educational Development Corp,Peters Joshua J,Dir,P - Purchase,14.13,2400.0,46992.0,5.0,33919.0
2021-06-01,2021-05-26,EDUC,Educational Development Corp,McDaniel Ronald T,Dir,S - Sale,14.53,-500.0,2150.0,-19.0,-7265.0
2021-06-01,2021-05-27,INTU,Intuit Inc,Smith Brad D,Exec COB,S - Sale+OE,431.5,-163061.0,354507.0,-32.0,-70360199.0
2021-06-01,2021-05-27,MORN,"Morningstar, Inc.",Mansueto Joseph D,"Exec COB, 10%",S - Sale,234.57,-23069.0,18767784.0,0.0,-5411304.0
2021-06-01,2021-05-28,NTGR,"Netgear, Inc.",Kim Andrew Wonki,"SVP, Legal, Corp Dev",S - Sale+OE,39.59,-517.0,64189.0,-1.0,-20468.0
2021-06-01,2021-05-27,CIEN,Ciena Corp,Smith Gary B,"Pres, CEO",S - Sale,53.01,-7500.0,411616.0,-2.0,-397581.0
2021-06-01,2021-05-27,LEVI,Levi Strauss & Co,Haas Bradley J.,10%,S - Sale+OE,26.76,-82464.0,0.0,-100.0,-2206718.0
2021-06-01,2021-05-28,KE,"Kimball Electronics, Inc.",Kahle John H,VP,S - Sale,22.15,-3500.0,182695.0,-2.0,-77532.0
2021-06-01,2021-05-10,OPK,"Opko Health, Inc.",Cohen Jon R,SVP OPKO; Exec COB BRLI,P - Purchase,3.81,50000.0,125000.0,67.0,190500.0
2021-06-01,2021-05-28,SKX,Skechers USA Inc,Greenberg Jeffrey,Dir,S - Sale,47.53,-5000.0,1237641.0,0.0,-237633.0
2021-06-01,2021-05-27,UUUU,Energy Fuels Inc,Higgs Dennis Lyle,Dir,S - Sale,8.26,-21575.0,321638.0,-6.0,-178111.0
2021-06-01,2021-05-28,HSY,Hershey Co,Buck Michele,"COB, Pres, CEO",S - Sale,173.52,-2500.0,182997.0,-1.0,-433800.0
2021-06-01,2021-05-28,WMPN,William Penn Bancorporation,Stephon Kenneth John,"Pres, CEO",P - Purchase,11.25,3011.0,50087.0,6.0,33881.0
2021-06-01,2021-05-27,OPOF,Old Point Financial Corp,Witt Joseph R,"Pres, Financial Svcs, CSO",P - Purchase,23.26,40.0,14943.0,0.0,931.0
2021-06-01,2021-05-27,TCBI,Texas Capital Bancshares Inc/tx,Baliff Jonathan,Dir,S - Sale,69.16,-976.0,5257.0,-16.0,-67499.0
2021-06-01,2021-05-28,CPF,Central Pacific Financial Corp,Camp Christine H H,Dir,P - Purchase,27.59,1400.0,128803.0,1.0,38631.0
2021-06-01,2021-05-28,CPF,Central Pacific Financial Corp,Kamitaki Wayne K,Dir,P - Purchase,27.59,1800.0,14589.0,14.0,49669.0
2021-06-01,2021-06-01,OPOF,Old Point Financial Corp,Keefe William F,Dir,P - Purchase,23.0,200.0,7900.0,3.0,4600.0
2021-06-01,2021-05-28,CPF,Central Pacific Financial Corp,Ota Saedene K,Dir,P - Purchase,27.59,1800.0,19259.0,10.0,49669.0
2021-06-01,2021-05-27,ACGL,Arch Capital Group Ltd.,Hutchings W Preston,"SVP, Chief Investment Officer",S - Sale,39.51,-37500.0,472250.0,-7.0,-1481715.0
2021-06-01,2021-05-27,BWEN,"Broadwind, Inc.",Wagner Thomas A.,Dir,S - Sale,4.47,-20000.0,70685.0,-22.0,-89356.0
2021-06-01,2021-05-28,ACA,"Arcosa, Inc.",Collins Jesse E. Jr.,Group Pres,S - Sale,62.49,-10990.0,18097.0,-38.0,-686765.0
2021-06-01,2021-05-28,LPX,Louisiana-Pacific Corp,Gottung Lizanne C,Dir,S - Sale+OE,67.34,-8139.0,32447.0,-20.0,-548080.0
2021-06-01,2021-05-28,OPOF,Old Point Financial Corp,Ralston Susan,COO/EVP,P - Purchase,23.28,200.0,3489.0,6.0,4655.0
2021-06-01,2021-06-01,CARE,"Carter Bankshares, Inc.",Adams Arthur Loran,"EVP, Dir OF REG RISK MNGT",P - Purchase,15.41,19.0,3041.0,1.0,293.0
2021-06-01,2021-05-27,VSTO,Vista Outdoor Inc.,Krekel Tig H,Dir,S - Sale,43.74,-9684.0,6053.0,-62.0,-423617.0
2021-06-01,2021-05-28,CPF,Central Pacific Financial Corp,Rose Crystal,Dir,P - Purchase,27.59,1900.0,48985.0,4.0,52428.0
2021-06-01,2021-06-01,CVCY,Central Valley Community Bancorp,Kim James J,EVP,P - Purchase,16.43,619.0,14396.0,4.0,10173.0
2021-06-01,2021-05-27,INTU,Intuit Inc,Powell Dennis D,Dir,S - Sale,431.67,-5000.0,4234.0,-54.0,-2158350.0
2021-06-01,2021-05-27,INTU,Intuit Inc,Clatterbuck Michelle M,"EVP, CFO",S - Sale,436.21,-414.0,546.0,-43.0,-180591.0
2021-06-01,2021-05-27,OOMA,Ooma Inc,Stang Eric B,"CEO, Pres",S - Sale,19.05,-35000.0,951640.0,-4.0,-666629.0
2021-06-01,2021-05-28,OCGN,"Ocugen, Inc.",Kompella Uday,Dir,S - Sale+OE,8.82,-7191.0,1030090.0,-1.0,-63417.0
2021-06-01,2021-05-26,ESNT,Essent Group Ltd.,Kasmar Roy James,Dir,S - Sale,47.96,-6314.0,26109.0,-19.0,-302807.0
2021-06-01,2021-05-27,WTRG,"Essential Utilities, Inc.",Rubin Robert A,Chief Accounting Officer,S - Sale,48.0,-349.0,92324.0,0.0,-16752.0
2021-06-01,2021-05-28,SAM,Boston Beer Co Inc,Koch C James,"COB, 10%",S - Sale,1057.21,-2500.0,272907.0,-1.0,-2643024.0
2021-06-01,2021-05-28,REX,Rex American Resources Corp,Bruggeman Douglas,"CFO, VP-Finance, Treasurer",S - Sale,97.12,-1000.0,26470.0,-4.0,-97120.0
2021-06-01,2021-05-28,NWBI,"Northwest Bancshares, Inc.",Tullio David M,Dir,P - Purchase,14.09,4000.0,9200.0,77.0,56340.0
2021-06-01,2021-05-27,CMXC,Cell Medx Corp.,Hargreaves Bradley S,"VP Technology, Operations, 10%",S - Sale,0.28,-5000.0,5648252.0,0.0,-1400.0
2021-06-01,2021-05-27,ATLO,Ames National Corp,McGill Stephen C,President of Subsidiary Bank,P - Purchase,25.41,200.0,3150.0,7.0,5082.0
2021-06-01,2021-05-28,GRMN,Garmin Ltd,Burrell Jonathan,"Dir, 10%",S - Sale,142.58,-84237.0,21455477.0,0.0,-12010436.0
2021-06-01,2021-05-27,FNF,"Fidelity National Financial, Inc.",Park Anthony,"EVP, CFO",S - Sale,46.61,-30308.0,382689.0,-7.0,-1412504.0
2021-06-01,2021-05-27,EL,Estee Lauder Companies Inc,Bravo Rose Marie,Dir,S - Sale+OE,304.23,-4234.0,0.0,-100.0,-1288110.0
2021-06-01,2021-05-28,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,1453.12,29.0,376450.0,0.0,42140.0
2021-06-01,2021-05-27,TLS,Telos Corp,Maluda John W,Dir,S - Sale,33.16,-40000.0,29142.0,-58.0,-1326400.0
2021-06-01,2021-05-28,EMYB,"Embassy Bancorp, Inc.",Englesson John G,Dir,S - Sale,19.6,-10000.0,45148.0,-18.0,-196000.0
2021-06-01,2021-05-27,NWPP,New Peoples Bankshares Inc,Keene Harold L,"Dir, 10%",P - Purchase,1.99,10000.0,4504487.0,0.0,19900.0
2021-06-01,2021-05-28,NI,Nisource Inc.,Jesanis Michael E,Dir,S - Sale,25.56,-4000.0,41257.0,-9.0,-102225.0
2021-06-01,2021-05-27,PFHD,Professional Holding Corp.,Garcia Carlos M.,Dir,S - Sale,18.4,-5059.0,457769.0,-1.0,-93086.0
2021-06-01,2021-05-28,TMP,Tompkins Financial Corp,Romaine Stephen S,"Pres, CEO",S - Sale,81.38,-2832.0,71346.0,-4.0,-230454.0
2021-06-01,2021-05-28,EMYB,"Embassy Bancorp, Inc.",Lesavoy Bernard M,Dir,P - Purchase,19.6,500.0,170573.0,0.0,9800.0
2021-06-01,2021-02-02,LEGH,Legacy Housing Corp,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,15.97,-45182.0,9411698.0,0.0,-721670.0
2021-06-01,2021-05-27,HRL,Hormel Foods Corp /de/,Coffey Mark A,SVP,S - Sale+OE,48.66,-37500.0,56090.0,-40.0,-1824878.0
2021-06-01,2021-05-28,SLCA,"U.S. Silica Holdings, Inc.",Kacal William Jennings,Dir,P - Purchase,10.3,15000.0,216213.0,0.07,154425.0
2021-06-01,2021-05-27,INTU,Intuit Inc,Chriss James Alexander,"EVP, SBSEG",S - Sale,435.69,-764.0,300.0,-72.0,-332869.0
2021-06-01,2021-05-27,RDNT,"Radnet, Inc.",Murdock Michael N,"EVP, Chief Development Offcr",S - Sale,26.88,-18333.0,65920.0,-22.0,-492855.0
2021-06-01,2021-06-01,CARE,"Carter Bankshares, Inc.",Bird Michael R,Dir,P - Purchase,15.41,32.0,6514.0,0.0,493.0
2021-06-01,2021-05-27,GATO,"Gatos Silver, Inc.",Huerta Luis Felipe,"VP, Mexico",S - Sale+OE,16.15,-35785.0,0.0,-100.0,-577928.0
2021-06-01,2021-06-01,OHI,Omega Healthcare Investors Inc,Whitman Burke W,Dir,P - Purchase,36.96,500.0,19585.0,3.0,18480.0
2021-06-01,2021-05-28,MBI,Mbia Inc,Shasta Theodore,Dir,S - Sale,10.0,-20696.0,52049.0,-28.0,-206960.0
